created_at,$MSFT,$AAPL,$AMZN,$FB,$BBRK.B,$GOOG,$JNJ,$JPM,$V,$PG,$MA,$INTC,$UNH,$BAC,$T,$HD,$XOM,$DIS,$VZ,$KO,$MRK,$CMCSA,$CVX,$PEP,$PFE,$SPY
2020-04-09,401.0,786.0,550.0,331.0,False,251.0,93.0,490.0,449.0,62.0,206.0,133.0,57.0,212.0,735.0,92.0,241.0,760.0,37.0,34.0,29.0,38.0,67.0,24.0,186.0,3939.0
2020-04-10,178.0,380.0,261.0,171.0,False,209.0,66.0,168.0,216.0,14.0,43.0,85.0,42.0,108.0,404.0,28.0,92.0,203.0,33.0,22.0,31.0,34.0,47.0,11.0,71.0,1386.0
2020-04-11,146.0,444.0,334.0,137.0,False,142.0,239.0,285.0,154.0,31.0,26.0,49.0,190.0,223.0,278.0,28.0,43.0,163.0,17.0,27.0,29.0,8.0,18.0,5.0,40.0,1118.0
2020-04-12,243.0,382.0,412.0,236.0,False,188.0,287.0,392.0,221.0,22.0,44.0,57.0,230.0,281.0,284.0,39.0,95.0,189.0,16.0,24.0,15.0,15.0,66.0,13.0,25.0,1290.0
2020-04-13,405.0,823.0,1824.0,375.0,False,291.0,348.0,565.0,455.0,58.0,89.0,120.0,140.0,338.0,1054.0,51.0,143.0,467.0,45.0,49.0,56.0,29.0,51.0,16.0,78.0,2487.0
2020-04-14,632.0,1348.0,2285.0,420.0,False,415.0,1119.0,1913.0,518.0,148.0,92.0,121.0,154.0,397.0,1285.0,56.0,160.0,403.0,62.0,51.0,67.0,50.0,63.0,57.0,65.0,2858.0
2020-04-15,600.0,1066.0,1562.0,344.0,False,325.0,332.0,603.0,586.0,167.0,131.0,99.0,383.0,727.0,1280.0,56.0,161.0,340.0,56.0,37.0,80.0,46.0,83.0,28.0,96.0,2690.0
2020-04-16,729.0,1057.0,2460.0,508.0,False,449.0,220.0,332.0,731.0,105.0,155.0,110.0,180.0,248.0,1234.0,55.0,121.0,312.0,190.0,41.0,76.0,46.0,56.0,30.0,52.0,2989.0
2020-04-17,1164.0,2150.0,1964.0,932.0,False,828.0,173.0,327.0,631.0,324.0,128.0,143.0,151.0,289.0,1157.0,61.0,216.0,404.0,96.0,41.0,58.0,53.0,95.0,21.0,56.0,2858.0
2020-04-18,618.0,772.0,884.0,349.0,False,484.0,77.0,199.0,287.0,68.0,45.0,113.0,55.0,184.0,493.0,30.0,66.0,146.0,76.0,94.0,32.0,21.0,31.0,19.0,23.0,1212.0
2020-04-19,467.0,572.0,716.0,285.0,False,308.0,93.0,180.0,321.0,41.0,66.0,107.0,53.0,68.0,542.0,40.0,80.0,223.0,131.0,113.0,31.0,18.0,36.0,23.0,43.0,1310.0
2020-04-20,636.0,870.0,1156.0,551.0,False,428.0,150.0,232.0,591.0,89.0,127.0,161.0,53.0,176.0,1152.0,66.0,425.0,545.0,99.0,151.0,113.0,61.0,199.0,34.0,81.0,2765.0
2020-04-21,566.0,1165.0,1004.0,487.0,False,390.0,106.0,184.0,535.0,69.0,93.0,104.0,76.0,153.0,1033.0,38.0,342.0,421.0,67.0,483.0,76.0,72.0,128.0,27.0,57.0,3007.0
2020-04-22,510.0,889.0,760.0,1040.0,False,316.0,179.0,252.0,591.0,107.0,111.0,183.0,42.0,170.0,1308.0,59.0,282.0,293.0,65.0,126.0,49.0,39.0,105.0,22.0,160.0,2578.0
2020-04-23,534.0,1086.0,1236.0,683.0,False,473.0,181.0,283.0,705.0,106.0,98.0,836.0,52.0,166.0,1222.0,57.0,219.0,361.0,145.0,87.0,92.0,46.0,125.0,21.0,105.0,2653.0
2020-04-24,637.0,1081.0,980.0,1869.0,False,482.0,154.0,192.0,807.0,74.0,76.0,535.0,55.0,156.0,1293.0,66.0,159.0,274.0,348.0,64.0,85.0,51.0,75.0,37.0,105.0,2138.0
