Date,msft,aapl,tsla,amzn,meta,brk-b,goog,jnj,jpm,v,pg,ma,intc,unh,bac,t,hd,xom,dis,vz,ko,mrk,cmcsa,cvx,pep,pfe,^gspc
2020-04-08 00:00:00-04:00,48318200,168895200,189840000,79546000,21664200,6109900,39502000,10758200,22903300,11146500,12564500,5690100,26719500,6390200,81212300,54010329,6094700,33355600,22562500,18234200,18937100,11481888,26522500,12284800,5241100,25523980,5875710000
2020-04-09 00:00:00-04:00,51385100,161834800,204750000,92930000,23534300,10519600,43508000,11125400,42055900,12231800,12747300,6662900,40499700,4923300,125275700,66599583,7125100,60107300,31453600,19689500,19165300,13876568,28615800,17023800,5502400,30648107,7899550000
2020-04-13 00:00:00-04:00,41905300,131022800,337131000,134334000,19355400,7888600,34796000,8153200,26911900,14043700,7926700,7114400,23251900,2964900,83164700,45209039,4415600,29651900,17306000,12977700,19586000,7706678,20237400,13854700,3785000,18270141,5319530000
2020-04-14 00:00:00-04:00,52874300,194994800,458647500,161744000,21011800,7032000,49408000,13838000,46151300,9980500,10474200,6354400,25674000,4778900,88991100,42290546,5655400,30769000,19866900,16765600,21801900,12155333,21803300,14797600,6278700,21845309,5615730000
2020-04-15 00:00:00-04:00,40940800,131154400,353655000,137332000,17423000,6138300,33434000,11962300,30118600,12118700,14192900,10240700,22841600,7841800,99082200,49706800,5693900,33125000,14157600,18372800,12893200,10809072,19786300,13982300,5773100,21312196,5208000000
2020-04-16 00:00:00-04:00,50479600,157125200,309868500,240764000,23593200,6228200,50362000,12181700,32449600,20308200,12020200,11455400,24433500,7738900,89213300,43074884,7262800,30934000,18029300,17825800,17606800,9145058,20973800,12291900,4564000,20657451,5228810000
2020-04-17 00:00:00-04:00,52765600,215250000,196923000,158600000,20974800,8272200,38980000,10920000,30191900,15375800,15899800,10412100,27385600,5857500,92800300,45884809,6717600,40829100,17926900,15054300,19844600,15433162,28736600,16130100,4866500,24404843,5804810000
2020-04-20 00:00:00-04:00,36669600,130015200,221199000,115414000,16110700,6474700,33910000,12226200,23679400,10505200,10832000,6042700,26420300,4072600,74446300,40492157,4753100,39260800,17021000,14002200,18957900,11675768,18444500,15749000,3995400,22530620,5228630000
2020-04-21 00:00:00-04:00,56203700,180991600,303136500,149534000,24850500,5882500,43060000,9951100,23035000,10562100,9465400,5964600,25248000,3977500,78871300,57214144,4845000,44381600,16101400,14234500,26863700,17876574,23004500,19620600,4359500,23975233,5121010000
2020-04-22 00:00:00-04:00,34620200,116862400,212482500,84244000,33242000,5470000,41848000,11515600,16662400,14502500,10259400,5083200,23350400,3663300,49669500,67184129,4067700,27074200,11463800,12701100,15811600,11933890,20117300,10320700,4084600,20182624,5084920000
2020-04-23 00:00:00-04:00,32790800,124814400,198550500,101332000,21426600,6211900,31324000,10665000,16638800,11411300,17277000,4270600,35092000,4420500,50614800,45031226,3565500,35271000,17132200,15684400,17668200,8152497,21194200,14226500,5527700,20185365,5773530000
2020-04-24 00:00:00-04:00,34277600,126161200,198180000,76498000,28792000,5205500,32792000,8653400,15809200,8391400,12751100,3824200,50187000,3265000,47633500,47061315,5025200,28653800,13614100,15371500,15175000,7686451,19188000,9175500,4063100,17353794,5382810000
2020-04-27 00:00:00-04:00,33194400,117087600,310221000,112912000,29197800,6622400,32012000,8924000,22870200,9903300,10635700,4099900,25902200,3706200,66916700,44116607,5472800,28274400,15518300,16050100,19175500,12786753,21775600,12037100,4009200,23394057,5203930000
2020-04-28 00:00:00-04:00,34392700,112004800,228330000,105388000,21731000,6674600,59026000,8558700,20238900,8614400,9958000,4344000,28784700,3862900,65504900,40944435,5080700,26545100,16503700,13392600,17246700,20273560,15958700,10645200,6674200,35666728,5691160000
2020-04-29 00:00:00-04:00,51286600,137280800,243240000,91832000,45954500,7645000,75872000,9285200,20462600,12862800,8707900,8505000,30451500,4258400,73493900,43903972,4381100,29502500,20139800,17818100,15780000,13687194,19110200,12342800,6706800,26518535,6645640000
2020-04-30 00:00:00-04:00,53875900,183064000,427078500,190692000,46230100,8217800,53378000,14829600,19127600,11331600,10026400,5898900,26279900,7631700,55244100,53955516,5152700,37076300,18638700,17532400,20801100,11638878,33212500,12222000,6783000,29450973,6544980000
2020-05-01 00:00:00-04:00,39370500,240616800,487977000,195452000,30415600,7513700,41450000,7309000,18547700,10109600,7366400,5067800,21194800,3526100,51772600,48791121,3819300,35399300,13209100,13857400,14290400,9518565,19951600,13250100,4488000,22679867,4759810000
2020-05-04 00:00:00-04:00,30372900,133568000,288556500,97318000,19250700,9448600,30080000,7198400,15725900,9386200,5636000,3747100,18957200,2894200,45886100,46557268,4090900,27465600,19514800,11833600,22544200,8850255,24906000,11192400,5245300,19893512,4735930000
2020-05-05 00:00:00-04:00,36839200,147751200,254875500,64850000,21071200,9016300,33030000,6562300,18064100,13513000,5425200,3926200,17252100,2501300,45691900,32604956,4655200,29276200,30169800,10902400,13370500,7401395,18784100,13608700,3580000,24123952,5140290000
2020-05-06 00:00:00-04:00,32139300,142333600,166848000,62356000,21857000,9003000,24308000,6191600,20978000,8540500,7892200,3261900,17848700,2579200,53874600,59704721,3321100,22659000,51992400,12460400,11892900,12414922,20151900,11145900,4192200,24047432,4892570000
