Date,gme,aal,aapl,amd,aph,bili,clov,dkng,ecor,meta,ino,jd,msft,mvis,cenn,plug,sndl,tlry,tsla,wkhs,zm
2021-01-27 00:00:00-05:00,373586800,178529000,140843800,73341200,6669200,7901400,22931100,19397200,316487,35346200,49863900,16058200,69870600,14663100,146550000,72967800,95204890,37553400,82002000,48083300,4557500
2021-01-28 00:00:00-05:00,235263200,319607600,142621100,47048400,4498800,8159400,17912600,21573800,216020,37758800,20209400,11254400,49111200,11122700,77084480,41440400,213614290,26265300,79134000,20809500,3374200
2021-01-29 00:00:00-05:00,202264400,113054800,177523800,56735800,4313400,9860000,12310600,16429400,148013,30389500,33745900,10855300,42503100,8711300,31665187,28717200,100486690,29193900,104972400,23194000,3959000
2021-02-01 00:00:00-05:00,149528800,49436000,106239800,42359300,4831400,8453000,10178500,11008700,70707,22914300,94507700,7452700,33314200,10596300,14744740,19010200,171372490,20854700,76174200,23995700,3443900
2021-02-02 00:00:00-05:00,312732400,39287800,83305400,33850000,2300000,6234400,11088900,31613900,104113,17320800,47608000,11522400,25916300,13461000,23948853,24272700,97698830,63160700,73038600,20022600,3780100
2021-02-03 00:00:00-05:00,170794000,61414800,89880900,32312900,2573800,6209200,8780100,12745100,100440,14223400,22791600,7328200,27158100,33647000,25768260,28055500,97979790,83712200,55030500,11808800,3433100
2021-02-04 00:00:00-05:00,249709200,37606800,84183100,30791600,1562600,9308400,69155500,16945000,65927,16060000,18966200,5336200,25296100,24668700,9734060,21240500,62360540,33097900,47438100,31036400,2528100
2021-02-05 00:00:00-05:00,325380000,30910200,75693800,30268700,2114600,6692300,66575300,16612200,101800,12454400,11967500,5821800,18054800,26994100,9188013,18125900,40763350,21523800,55699800,13474200,9759100
2021-02-08 00:00:00-05:00,102749200,44177500,71297200,47639900,2045400,4493300,34018200,19914900,95587,13755200,17625900,5681600,22211900,29250300,7319920,15920700,51042190,37459500,60485100,12704500,3731500
2021-02-09 00:00:00-05:00,107372400,29972900,76774200,37596400,1730400,5741000,30417300,11989800,190140,14613400,9170400,5790400,23565000,16121900,8630073,23365800,112096690,133491300,45473100,10948400,5115400
2021-02-10 00:00:00-05:00,145820000,28503000,73046600,42441300,1922000,12312100,17265800,10321400,130493,14687200,8909800,8629400,22186700,17372700,30660180,27217000,258048890,199442400,108648300,10258200,4738300
2021-02-11 00:00:00-05:00,52226800,38746400,64280000,35571000,2153200,4830900,14699000,14623200,75607,12828600,9083600,4461600,15751100,43565400,31808367,13892200,294029660,216130200,64868400,7156300,3502600
2021-02-12 00:00:00-05:00,58293200,27522500,60145100,38538400,2825600,2660300,9652800,7631800,130660,9097600,46248000,3233900,16561100,14541700,10867793,12324500,116715800,121408400,71304900,5749200,2077800
2021-02-16 00:00:00-05:00,32700000,33615500,80576300,35105900,2724400,5417000,18245000,6184300,111473,15417200,17511700,10809000,26728500,26160100,5608160,32163300,65251800,79099400,59406900,10051100,4249200
2021-02-17 00:00:00-05:00,36747200,35475700,97918500,32245500,1595000,4580900,13279700,9093700,78920,12763200,17364600,11456400,21653500,16020300,10211440,21717200,48617970,40167500,77989500,10792700,4006500
2021-02-18 00:00:00-05:00,95962400,26328200,96856700,35624900,3758800,3901200,15000000,7262300,72827,15249100,15515700,8646100,16925600,11044300,5356020,34222100,43756800,55362900,53871300,7328000,2645300
2021-02-19 00:00:00-05:00,59312800,48663800,87668800,29548300,5083400,4785400,16930800,11456200,44880,25622600,8978600,6451200,25262600,12016200,5651607,34719700,87323470,28026800,56874900,9613400,2195000
2021-02-22 00:00:00-05:00,77904000,99937700,103916400,36930200,2457400,7583300,13030900,10018200,74147,17434900,11014400,13054100,36446900,10060800,5267820,34830500,25526640,28022500,111809100,6017000,4340300
2021-02-23 00:00:00-05:00,30260800,78817600,158273000,49720900,5368000,9044200,18013200,17481100,153633,21924600,16412800,13873500,30228700,15169300,6303280,48792800,39724940,27397600,199820700,78058300,5558200
2021-02-24 00:00:00-05:00,332446800,74610200,111039900,40821200,3292000,6652100,8457300,7356800,176100,15736100,8359300,11915000,26339700,9284500,13244987,30004300,43329630,25906800,110301000,100347200,3442400
