Stock,Market Cap,Trading Volume
MSFT,2086720372736.00,37725931.75
REAL,112150464.00,1967407.94
AAPL,2602547544064.00,157796583.33
AMZN,1085911859200.00,98776468.25
FB,543625478144.00,22484176.19
BRK-B,715715051520.00,6265070.24
GOOG,1357068238848.00,37903428.57
JNJ,510031429632.00,8054418.65
JPM,410816937984.00,19272229.37
V,487804436480.00,9746618.25
PG,369087447040.00,8016309.13
MA,356570071040.00,4706108.33
INTC,123859329024.00,31591649.60
UNH,455251820544.00,4037694.05
BAC,237538852864.00,68202924.60
T,125601497088.00,52669548.02
HD,303426306048.00,4751841.67
XOM,481759756288.00,28835327.38
DIS,181694513152.00,14657105.95
VZ,156009005056.00,16609906.35
KO,276818952192.00,17034414.68
MRK,293826461696.00,10781255.10
CMCSA,156689874944.00,21283190.87
CVX,324968644608.00,11212182.94
PEP,255601180672.00,5060782.94
PFE,224880803840.00,33885358.20
SPY,330719997260.00,81948856.00
